Category,Dec. 2022,Oct. 2023,Nov. 2023,Dec. 2023,Change from: Nov. 2023-Dec. 2023
Civilian noninstitutional population,"264,844","267,642","267,822","267,991",169
Civilian labor force,"164,998","167,723","168,127","167,451",-676
Participation rate,62.3,62.7,62.8,62.5,-0.3
Employed,"159,300","161,280","161,866","161,183",-683
Employment-population ratio,60.1,60.3,60.4,60.1,-0.3
"Total, 16 years and over",3.5,3.8,3.7,3.7,0
Adult men (20 years and over),3.1,3.7,3.7,3.5,-0.2
Adult women (20 years and over),3.2,3.2,3.1,3.3,0.2
Teenagers (16 to 19 years),10.5,13.1,11.4,11.9,0.5
White,3,3.5,3.3,3.5,0.2
Black or African American,5.7,5.8,5.8,5.2,-0.6
Asian,2.4,3.1,3.5,3.1,-0.4
Hispanic or Latino ethnicity,4.2,4.8,4.6,5,0.4
