Category,Dec. 2022,Oct. 2023,Nov. 2023,Dec. 2023,Change from: Nov. 2023-Dec. 2023
Summary table,A.,Household,"data,",seasonally,adjusted
Civilian noninstitutional population,"264,844","267,642","267,822","267,991",169
Civilian labor force,"164,998","167,723","168,127","167,451",-676
Participation rate,62.3,62.7,62.8,62.5,-0.3
Employed,"159,300","161,280","161,866","161,183",-683
Employment-population ratio,60.1,60.3,60.4,60.1,-0.3
Unemployed,"5,698","6,443","6,262","6,268",6
Unemployment rate,3.5,3.8,3.7,3.7,0.0
Not in labor force,"99,846","99,919","99,695","100,540",845
"Total, 16 years and over",3.5,3.8,3.7,3.7,0.0
Adult men (20 years and over),3.1,3.7,3.7,3.5,-0.2
Adult women (20 years and over),3.2,3.2,3.1,3.3,0.2
Teenagers (16 to 19 years),10.5,13.1,11.4,11.9,0.5
White,3.0,3.5,3.3,3.5,0.2
Black or African American,5.7,5.8,5.8,5.2,-0.6
Asian,2.4,3.1,3.5,3.1,-0.4
Hispanic or Latino ethnicity,4.2,4.8,4.6,5.0,0.4
"Total, 25 years and over",2.8,3.1,3.1,3.2,0.1
Less than a high school diploma,5.0,5.8,6.3,6.0,-0.3
"High school graduates, no college",3.6,4.0,4.1,4.2,0.1
Some college or associate degree,3.0,3.1,2.8,3.1,0.3
Bachelor’s degree and higher,1.9,2.1,2.1,2.1,0.0
Job losers and persons who completed temporary jobs,"2,596","3,120","3,058","3,058",0
Job leavers,824,801,821,833,12
Reentrants,"1,786","1,869","1,771","1,741",-30
New entrants,502,603,582,609,27
Less than 5 weeks,"2,218","2,269","2,069","2,191",122
5 to 14 weeks,"1,645","1,836","2,060","1,791",-269
15 to 26 weeks,792,"1,079",931,"1,104",173
27 weeks and over,"1,106","1,291","1,220","1,245",25
Employed,persons,at,work,part,time
Part time for economic reasons,"3,878","4,284","3,994","4,211",217
Slack work or business conditions,"2,643","2,985","2,790","2,960",170
Could only ﬁnd part-time work,916,"1,000",934,964,30
Part time for noneconomic reasons,"21,537","21,576","21,879","22,458",579
Persons,not,in,the,labor,force
Marginally attached to the labor force,"1,256","1,416","1,583","1,562",-21
Discouraged workers,417,419,425,346,-79
NOTE: Persons whose ethnicity is identiﬁed as Hispanic or Latino may be of any race Detail for the seasonally adjusted data,shown,in,this,table,will
not necessarily add to totals because of the independent seasonal adjustment of the various series,Updated,population,controls,are,introduced
annually with,the,release,of,January,data
